,order_id,order_date,ship_date,ship_mode,customer_id
7272,US-2013-150357,2013-10-11,2013-10-15,Standard Class,EB-13975
7274,CA-2012-144519,2012-11-13,2012-11-17,Standard Class,AW-10930
7276,CA-2011-120670,2011-11-02,2011-11-06,Standard Class,JK-16120
7277,CA-2013-157217,2013-07-20,2013-07-22,First Class,TC-21535
7279,CA-2013-108224,2013-05-15,2013-05-15,Same Day,TH-21235
7280,CA-2012-162782,2012-02-21,2012-02-27,Standard Class,PW-19240
7281,CA-2014-159282,2014-10-17,2014-10-22,Standard Class,GH-14410
7282,CA-2014-155936,2014-06-23,2014-06-30,Standard Class,JK-15730
7283,CA-2014-169439,2014-09-10,2014-09-14,Standard Class,LC-17140
7285,CA-2014-151183,2014-10-15,2014-10-20,Standard Class,BK-11260
7286,CA-2013-149965,2013-06-21,2013-06-26,Standard Class,BS-11365
7288,CA-2011-158281,2011-09-02,2011-09-07,Standard Class,AG-10525
7289,CA-2013-153661,2013-01-30,2013-01-31,First Class,SC-20725
7292,CA-2014-109183,2014-12-05,2014-12-10,Standard Class,LR-16915
7293,CA-2013-113656,2013-01-23,2013-01-29,Standard Class,CB-12415
7294,CA-2012-148964,2012-05-26,2012-05-31,Standard Class,RD-19900
7295,CA-2011-111899,2011-05-04,2011-05-05,First Class,NC-18340
7297,CA-2012-101126,2012-02-10,2012-02-14,Second Class,NB-18655
7298,CA-2011-163468,2011-11-18,2011-11-21,First Class,JK-15730
7303,US-2014-117450,2014-09-05,2014-09-09,Standard Class,DO-13645
7305,CA-2011-137274,2011-03-29,2011-04-02,Standard Class,MG-18145
7306,CA-2013-144092,2013-11-06,2013-11-08,Second Class,LH-17155
7309,CA-2014-112172,2014-06-11,2014-06-15,Second Class,MM-18280
7310,CA-2012-121699,2012-08-10,2012-08-14,Standard Class,BD-11320
7311,CA-2012-162761,2012-10-09,2012-10-13,Standard Class,SC-20575
7314,CA-2013-121377,2013-05-29,2013-06-03,Standard Class,TN-21040
7315,CA-2014-115322,2014-05-12,2014-05-17,Second Class,ZC-21910
7316,CA-2013-132066,2013-10-17,2013-10-21,Standard Class,NB-18655
7317,CA-2014-158120,2014-11-18,2014-11-22,Standard Class,KH-16330
7319,CA-2014-100097,2014-11-27,2014-11-30,Second Class,MN-17935
7321,CA-2014-167626,2014-09-04,2014-09-08,Standard Class,MY-18295
7323,US-2014-126053,2014-12-06,2014-12-09,First Class,CS-11950
7325,US-2014-128447,2014-11-11,2014-11-18,Standard Class,MC-17845
7327,US-2011-131275,2011-03-18,2011-03-24,Standard Class,SC-20050
7330,CA-2013-149349,2013-11-13,2013-11-14,First Class,SP-20650
7331,CA-2014-115119,2014-10-27,2014-10-31,Standard Class,SC-20440
7333,CA-2012-125563,2012-04-11,2012-04-17,Standard Class,PR-18880
7335,CA-2012-113152,2012-12-25,2012-12-30,Standard Class,JK-15625
7337,CA-2014-165155,2014-09-22,2014-09-24,First Class,BM-11575
7338,CA-2011-163412,2011-12-20,2011-12-23,Second Class,SM-20950
7339,CA-2012-159590,2012-07-18,2012-07-21,First Class,KC-16255
7340,CA-2011-116190,2011-07-26,2011-08-01,Standard Class,SG-20470
7343,CA-2011-168473,2011-12-26,2012-01-01,Standard Class,TB-21520
7344,CA-2014-168389,2014-12-12,2014-12-18,Standard Class,DV-13045
7348,CA-2011-130421,2011-03-03,2011-03-07,Standard Class,SC-20020
7349,CA-2014-142125,2014-10-22,2014-10-28,Standard Class,JB-15400
7351,CA-2014-141138,2014-11-11,2014-11-17,Standard Class,GH-14425
7352,CA-2014-152135,2014-03-17,2014-03-19,Second Class,MG-17650
7353,CA-2013-151974,2013-09-23,2013-09-30,Standard Class,RD-19660
7354,CA-2014-154102,2014-02-07,2014-02-14,Standard Class,SN-20560
7355,CA-2012-139780,2012-12-31,2013-01-02,Second Class,AH-10690
7356,CA-2013-114748,2013-10-10,2013-10-15,Standard Class,MZ-17335
7358,US-2011-115189,2011-12-30,2012-01-03,Second Class,AR-10345
7360,CA-2013-163594,2013-04-13,2013-04-15,First Class,JF-15295
7363,CA-2013-127243,2013-11-29,2013-12-05,Standard Class,DS-13180
7368,CA-2014-161851,2014-04-16,2014-04-18,First Class,BP-11095
7369,CA-2012-110345,2012-03-09,2012-03-11,Second Class,TG-21310
7370,CA-2011-107769,2011-10-28,2011-11-01,Standard Class,BT-11395
7371,US-2014-123862,2014-01-08,2014-01-10,Second Class,JF-15190
7375,CA-2014-100580,2014-08-14,2014-08-21,Standard Class,MK-17905
7376,US-2014-145597,2014-11-03,2014-11-06,First Class,GG-14650
7377,CA-2011-132787,2011-09-19,2011-09-23,Standard Class,MC-18130
7378,CA-2012-136224,2012-05-31,2012-05-31,Same Day,ML-18265
7379,CA-2013-105732,2013-09-14,2013-09-19,Standard Class,AG-10270
7389,CA-2014-108035,2014-11-30,2014-12-04,Standard Class,TT-21070
7391,CA-2014-160031,2014-12-05,2014-12-08,Second Class,LT-16765
7392,CA-2014-147844,2014-05-03,2014-05-07,Standard Class,DD-13570
7395,CA-2013-110975,2013-12-26,2013-12-31,Standard Class,DB-12970
7397,CA-2011-141649,2011-09-30,2011-09-30,Same Day,DM-12955
7398,CA-2011-124807,2011-07-12,2011-07-15,Second Class,ME-17725
7400,CA-2013-110009,2013-09-09,2013-09-14,Standard Class,TR-21325
7402,CA-2014-168172,2014-08-07,2014-08-11,Standard Class,SH-20395
7403,CA-2012-100146,2012-05-14,2012-05-19,Standard Class,CB-12535
7407,CA-2014-152079,2014-01-21,2014-01-22,First Class,ML-17410
7408,CA-2013-129728,2013-05-31,2013-06-07,Standard Class,JG-15310
7409,CA-2011-121769,2011-04-08,2011-04-12,Standard Class,JS-15880
7410,CA-2011-103058,2011-07-23,2011-07-24,First Class,AG-10270
7411,CA-2014-121125,2014-05-31,2014-06-04,Standard Class,MG-17890
7414,US-2013-114013,2013-03-14,2013-03-16,Second Class,SC-20770
7423,CA-2014-135069,2014-04-11,2014-04-15,Standard Class,BS-11755
7425,CA-2013-101693,2013-06-26,2013-06-28,Second Class,LC-17140
7427,US-2011-164763,2011-03-17,2011-03-21,Standard Class,MH-17440
7432,CA-2011-161249,2011-08-09,2011-08-13,Standard Class,RD-19720
7434,CA-2012-148180,2012-07-26,2012-07-31,Standard Class,BP-11095
7437,CA-2011-165568,2011-02-16,2011-02-20,Standard Class,BF-11020
7438,CA-2012-145457,2012-03-24,2012-03-27,Second Class,CP-12085
7439,US-2014-163657,2014-09-03,2014-09-07,Standard Class,JL-15235
7441,CA-2012-120446,2012-11-16,2012-11-18,First Class,JG-15805
7442,CA-2011-109932,2011-12-09,2011-12-11,First Class,VP-21760
7444,CA-2014-127474,2014-02-04,2014-02-08,Second Class,RD-19810
7448,CA-2014-115448,2014-11-12,2014-11-15,First Class,MH-18025
7449,CA-2014-105669,2014-09-18,2014-09-23,Second Class,SJ-20125
7453,CA-2014-134796,2014-06-26,2014-07-02,Standard Class,FM-14380
7454,CA-2013-137743,2013-07-31,2013-08-05,Standard Class,KH-16360
7456,CA-2012-137974,2012-04-16,2012-04-18,First Class,LL-16840
7460,US-2012-136987,2012-04-11,2012-04-14,Second Class,AR-10540
7462,CA-2012-138485,2012-02-27,2012-03-01,Second Class,NP-18670
7463,CA-2013-103709,2013-09-09,2013-09-16,Standard Class,LP-17095
7466,CA-2013-138282,2013-05-20,2013-05-24,Standard Class,AH-10690
7467,CA-2014-148985,2014-11-12,2014-11-16,Second Class,TB-21190
7468,CA-2011-138100,2011-09-15,2011-09-20,Standard Class,AA-10315
7470,CA-2012-100734,2012-09-15,2012-09-20,Standard Class,AC-10615
7472,CA-2013-139997,2013-07-02,2013-07-04,First Class,EM-14140
7473,CA-2013-109652,2013-04-11,2013-04-16,Standard Class,QJ-19255
7474,CA-2011-167199,2011-01-07,2011-01-11,Standard Class,ME-17320
7481,CA-2013-124583,2013-09-02,2013-09-04,Second Class,LB-16795
7482,CA-2011-113964,2011-09-23,2011-09-30,Standard Class,JP-16135
7483,CA-2011-129938,2011-12-15,2011-12-17,Second Class,EB-13705
7484,CA-2014-135111,2014-12-29,2015-01-03,Standard Class,CS-12400
7486,US-2012-134558,2012-12-19,2012-12-24,Second Class,PM-19135
7489,CA-2014-157196,2014-11-06,2014-11-10,Standard Class,AA-10645
7490,CA-2012-108672,2012-09-10,2012-09-16,Standard Class,FA-14230
7491,US-2014-118598,2014-11-17,2014-11-17,Same Day,CM-12190
7492,US-2014-160836,2014-09-12,2014-09-17,Standard Class,CC-12475
7495,CA-2014-121048,2014-07-15,2014-07-19,Standard Class,TC-21295
7502,US-2014-120117,2014-03-31,2014-03-31,Same Day,TB-21400
7504,CA-2013-158043,2013-01-31,2013-02-04,Second Class,JK-15325
7505,US-2014-106579,2014-06-09,2014-06-14,Standard Class,BW-11200
7506,CA-2011-115889,2011-11-02,2011-11-06,Standard Class,SH-20395
7508,US-2014-161935,2014-07-15,2014-07-19,Standard Class,JL-15835
7514,US-2014-167920,2014-12-10,2014-12-13,Second Class,JL-15835
7521,CA-2013-162383,2013-09-06,2013-09-12,Standard Class,MD-17350
7524,CA-2011-125731,2011-09-10,2011-09-16,Standard Class,CL-12565
7526,US-2014-106145,2014-09-27,2014-09-27,Same Day,RA-19885
7531,CA-2013-107146,2013-06-18,2013-06-20,First Class,LC-16885
7533,US-2014-134642,2014-02-26,2014-03-02,Standard Class,SW-20245
7535,US-2014-160143,2014-04-01,2014-04-08,Standard Class,HG-14965
7536,CA-2014-103415,2014-12-04,2014-12-09,Standard Class,MV-17485
7537,CA-2013-106460,2013-02-19,2013-02-22,Second Class,GT-14710
7538,US-2014-112347,2014-12-03,2014-12-07,Standard Class,BS-11380
7545,CA-2011-103492,2011-10-10,2011-10-15,Standard Class,CM-12715
7549,CA-2013-136595,2013-09-06,2013-09-08,First Class,EM-13825
7550,CA-2011-140396,2011-11-20,2011-11-25,Standard Class,KH-16330
7554,CA-2011-114181,2011-05-10,2011-05-14,Second Class,AF-10885
7556,CA-2014-159506,2014-11-28,2014-12-03,Standard Class,JR-16210
7558,US-2011-137155,2011-11-01,2011-11-05,Standard Class,DL-12925
7561,CA-2013-105746,2013-12-31,2014-01-02,First Class,BD-11605
7562,US-2013-104815,2013-09-04,2013-09-08,Standard Class,RB-19570
7563,CA-2014-157672,2014-10-06,2014-10-08,First Class,RB-19795
7564,US-2013-166660,2013-01-30,2013-02-01,Second Class,TB-21250
7566,CA-2014-140802,2014-04-22,2014-04-24,First Class,KN-16390
7568,CA-2011-133830,2011-12-05,2011-12-10,Standard Class,RL-19615
7571,CA-2011-100916,2011-10-21,2011-10-26,Standard Class,FH-14275
7574,CA-2012-129532,2012-12-08,2012-12-12,Standard Class,YS-21880
7576,CA-2011-134726,2011-11-02,2011-11-07,Second Class,SW-20755
7578,CA-2013-138597,2013-12-19,2013-12-22,First Class,PN-18775
7579,CA-2012-123113,2012-11-23,2012-11-27,Second Class,AT-10735
7581,CA-2012-169656,2012-08-13,2012-08-16,First Class,EJ-13720
7582,CA-2012-142734,2012-04-16,2012-04-21,Standard Class,DM-13345
7583,CA-2011-163223,2011-03-21,2011-03-25,Standard Class,KH-16690
7588,CA-2014-122945,2014-11-17,2014-11-23,Standard Class,MB-18085
7589,CA-2012-139738,2012-09-25,2012-09-29,Standard Class,DK-12895
7590,CA-2013-158778,2013-09-06,2013-09-10,Standard Class,DB-13210
7594,CA-2014-119655,2014-04-21,2014-04-25,Standard Class,CV-12295
7596,CA-2012-164567,2012-06-15,2012-06-19,Standard Class,GK-14620
7597,CA-2011-131947,2011-09-17,2011-09-22,Standard Class,JA-15970
7603,CA-2013-152520,2013-07-09,2013-07-13,Standard Class,TH-21115
7604,CA-2013-101791,2013-05-28,2013-06-01,Standard Class,BS-11665
7607,CA-2014-121195,2014-12-25,2014-12-28,First Class,NS-18505
7608,CA-2014-163209,2014-05-04,2014-05-08,Standard Class,MK-18160
7610,CA-2011-133354,2011-02-23,2011-02-25,First Class,SA-20830
7611,US-2012-130491,2012-02-08,2012-02-11,First Class,BH-11710
7614,CA-2012-113740,2012-08-24,2012-08-28,Second Class,SC-20380
7615,CA-2011-148425,2011-11-30,2011-12-04,Standard Class,RF-19345
7616,CA-2013-144309,2013-12-11,2013-12-17,Standard Class,CM-12235
7618,CA-2014-151225,2014-10-28,2014-10-30,First Class,JM-15655
7620,US-2011-144078,2011-11-25,2011-11-29,Standard Class,RB-19435
7623,CA-2011-124464,2011-07-14,2011-07-20,Standard Class,SS-20515
7624,CA-2012-136805,2012-05-23,2012-05-27,Second Class,NM-18445
7626,US-2012-159499,2012-11-21,2012-11-23,Second Class,EM-14095
7629,CA-2011-162089,2011-03-30,2011-04-01,First Class,MP-17470
7632,US-2014-158526,2014-12-30,2015-01-02,Second Class,KH-16360
7637,CA-2014-104885,2014-03-03,2014-03-09,Standard Class,DB-13555
7641,US-2013-157490,2013-10-07,2013-10-08,First Class,LB-16795
7645,CA-2012-161452,2012-04-05,2012-04-11,Standard Class,CA-11965
7646,US-2011-115196,2011-09-09,2011-09-13,Standard Class,DL-12925
7647,CA-2013-138968,2013-03-16,2013-03-17,First Class,FC-14335
7649,CA-2012-101889,2012-12-27,2012-12-31,Standard Class,DB-13120
7651,CA-2014-110821,2014-08-08,2014-08-09,First Class,CK-12205
7653,CA-2012-121552,2012-03-22,2012-03-27,Standard Class,FW-14395
7654,CA-2012-107685,2012-11-30,2012-12-02,Second Class,JM-15865
7656,US-2011-120740,2011-04-15,2011-04-15,Same Day,PS-18970
7658,CA-2014-155740,2014-07-31,2014-08-03,First Class,TC-21475
7659,CA-2014-146493,2014-06-02,2014-06-06,Standard Class,CV-12805
7660,CA-2011-105417,2011-01-08,2011-01-13,Standard Class,VS-21820
7662,US-2014-141509,2014-09-30,2014-10-02,First Class,SC-20575
7663,CA-2014-139493,2014-09-14,2014-09-20,Standard Class,SG-20605
7664,CA-2011-151967,2011-10-22,2011-10-26,Standard Class,NB-18580
7665,US-2013-140158,2013-10-05,2013-10-09,Standard Class,DR-12940
7668,CA-2012-130974,2012-11-27,2012-11-29,Second Class,MA-17560
7675,CA-2014-133487,2014-05-07,2014-05-10,Second Class,TS-21655
7676,CA-2011-142951,2011-10-08,2011-10-08,Same Day,JG-15115
7677,CA-2011-133592,2011-12-31,2012-01-07,Standard Class,KM-16375
7682,CA-2012-120782,2012-04-28,2012-05-01,First Class,SD-20485
7684,CA-2012-116876,2012-02-14,2012-02-21,Standard Class,TT-21070
7686,CA-2013-169838,2013-11-26,2013-11-30,Standard Class,BB-11545
7689,US-2014-128951,2014-07-16,2014-07-18,First Class,RS-19420
7692,CA-2011-102330,2011-12-29,2012-01-03,Standard Class,AI-10855
7694,CA-2013-118899,2013-03-23,2013-03-23,Same Day,MC-17275
7695,CA-2014-107958,2014-07-03,2014-07-06,First Class,AH-10120
7697,CA-2014-151799,2014-12-15,2014-12-19,Standard Class,BF-11170
7702,CA-2013-114601,2013-08-27,2013-09-03,Standard Class,AA-10480
7707,CA-2014-100237,2014-10-16,2014-10-20,Standard Class,SV-20815
7708,CA-2011-139542,2011-10-25,2011-10-29,Standard Class,EH-14185
7710,US-2012-142811,2012-04-02,2012-04-07,Standard Class,JL-15850
7711,CA-2014-139353,2014-10-29,2014-10-31,Second Class,JM-15250
7714,CA-2011-150203,2011-12-05,2011-12-07,First Class,JB-15925
7715,US-2014-101518,2014-11-04,2014-11-09,Standard Class,PB-19105
7716,CA-2012-149636,2012-01-06,2012-01-12,Standard Class,SP-20620
7718,US-2014-146213,2014-09-10,2014-09-15,Standard Class,MC-17605
7719,CA-2012-108588,2012-01-05,2012-01-10,Standard Class,BG-11695
7722,US-2014-138086,2014-04-17,2014-04-21,Standard Class,JO-15550
7723,CA-2012-139374,2012-09-10,2012-09-14,Standard Class,AR-10345
7724,CA-2013-113978,2013-09-26,2013-09-30,Standard Class,TS-21505
7727,US-2012-150231,2012-03-16,2012-03-20,Second Class,JK-15640
7728,CA-2013-106915,2013-11-27,2013-12-03,Standard Class,GA-14515
7729,US-2013-109260,2013-09-27,2013-10-02,Standard Class,TN-21040
7730,CA-2014-104850,2014-06-14,2014-06-20,Standard Class,TW-21025
7731,CA-2014-140508,2014-09-19,2014-09-22,First Class,PA-19060
7732,CA-2014-143294,2014-06-03,2014-06-09,Standard Class,JD-15790
7733,CA-2013-165673,2013-05-16,2013-05-20,Second Class,MN-17935
7734,CA-2014-134418,2014-09-16,2014-09-21,Standard Class,GM-14500
7735,US-2013-106313,2013-08-23,2013-08-27,Standard Class,DG-13300
7736,CA-2011-105872,2011-05-30,2011-06-06,Standard Class,JG-15160
7737,CA-2014-108287,2014-12-19,2014-12-21,First Class,AG-10330
7738,CA-2014-141103,2014-07-31,2014-08-07,Standard Class,JF-15355
7739,CA-2011-154781,2011-11-21,2011-11-26,Standard Class,SC-20680
7741,CA-2012-147816,2012-09-24,2012-09-26,Second Class,CM-11935
7742,CA-2014-105326,2014-08-21,2014-08-28,Standard Class,KT-16480
7743,CA-2013-133613,2013-06-18,2013-06-23,Standard Class,CP-12340
7746,CA-2012-109113,2012-12-19,2012-12-23,Standard Class,EK-13795
7747,CA-2012-156153,2012-05-31,2012-06-02,Second Class,CW-11905
7748,CA-2012-133242,2012-06-18,2012-06-24,Standard Class,KH-16510
7753,CA-2012-158323,2012-11-30,2012-12-03,First Class,AB-10600
7754,CA-2012-161795,2012-12-21,2012-12-23,Second Class,AH-10075
7755,CA-2014-100902,2014-11-18,2014-11-22,Standard Class,CK-12595
7757,CA-2014-112844,2014-11-14,2014-11-17,Second Class,SP-20620
7759,CA-2013-158925,2013-10-25,2013-10-29,Standard Class,JP-15460
7760,CA-2011-155390,2011-12-06,2011-12-11,Standard Class,BG-11035
7761,CA-2014-123071,2014-12-04,2014-12-07,First Class,CC-12550
7762,CA-2014-156391,2014-09-27,2014-09-29,First Class,SL-20155
7763,CA-2012-103093,2012-02-03,2012-02-07,Standard Class,FO-14305
7764,US-2014-118941,2014-08-13,2014-08-13,Same Day,BB-11545
7767,CA-2012-169299,2012-08-24,2012-08-26,First Class,DO-13435
7768,CA-2014-154088,2014-11-13,2014-11-18,Standard Class,LB-16735
7769,CA-2013-155978,2013-08-02,2013-08-02,Same Day,TS-21205
7771,CA-2013-108196,2013-11-26,2013-12-03,Standard Class,CS-12505
7774,CA-2013-152800,2013-04-14,2013-04-16,First Class,SP-20920
7775,CA-2011-166961,2011-12-27,2011-12-31,Standard Class,CD-12790
7779,CA-2013-139381,2013-04-19,2013-04-23,Standard Class,RF-19840
7781,CA-2012-132136,2012-03-08,2012-03-12,Standard Class,FO-14305
7782,CA-2013-162236,2013-11-05,2013-11-07,Second Class,ER-13855
7785,US-2011-111353,2011-11-29,2011-12-06,Standard Class,PB-19150
7786,US-2013-117037,2013-05-18,2013-05-21,First Class,LW-17215
7790,CA-2014-160801,2014-09-20,2014-09-20,Same Day,FG-14260
7791,CA-2013-108364,2013-12-20,2013-12-25,Standard Class,BP-11050
7792,CA-2014-169362,2014-10-13,2014-10-16,First Class,SP-20860
7793,CA-2012-127481,2012-12-12,2012-12-15,Second Class,JD-15895
7795,CA-2012-112711,2012-07-12,2012-07-18,Standard Class,FM-14380
7796,US-2012-145121,2012-10-02,2012-10-06,Standard Class,MP-17965
7797,CA-2014-166184,2014-03-25,2014-03-28,First Class,HR-14830
7800,CA-2014-157413,2014-06-02,2014-06-07,Standard Class,BW-11065
7801,CA-2011-143637,2011-03-24,2011-03-29,Second Class,MS-17710
7802,CA-2012-102260,2012-09-22,2012-09-26,Standard Class,SJ-20125
7807,US-2013-137295,2013-01-08,2013-01-13,Standard Class,VS-21820
7810,CA-2013-134334,2013-02-14,2013-02-15,First Class,DK-13090
7814,US-2014-109316,2014-06-09,2014-06-11,First Class,MG-17680
7816,CA-2013-138478,2013-10-22,2013-10-27,Second Class,DP-13390
7819,CA-2014-150469,2014-01-27,2014-01-31,Standard Class,CJ-12010
7820,CA-2014-152436,2014-12-09,2014-12-11,Second Class,CW-11905
7821,CA-2013-169334,2013-10-22,2013-10-25,Second Class,GW-14605
7822,US-2011-115413,2011-08-26,2011-09-01,Standard Class,PP-18955
7824,CA-2011-125150,2011-05-16,2011-05-23,Standard Class,PW-19030
7825,CA-2012-127327,2012-02-03,2012-02-07,Standard Class,PW-19030
7826,CA-2014-117114,2014-11-01,2014-11-06,Standard Class,CY-12745
7828,CA-2012-137302,2012-04-26,2012-05-01,Standard Class,BW-11110
7832,CA-2013-112382,2013-05-10,2013-05-14,Standard Class,MB-18085
7833,CA-2012-128958,2012-01-24,2012-01-28,Standard Class,CR-12820
7834,CA-2012-106257,2012-04-13,2012-04-17,Second Class,EB-14110
7836,CA-2012-149083,2012-09-25,2012-09-30,Standard Class,SH-19975
7839,US-2011-137869,2011-03-28,2011-04-02,Standard Class,CV-12295
7841,CA-2013-116603,2013-07-18,2013-07-23,Standard Class,AT-10735
7842,CA-2011-158470,2011-04-19,2011-04-23,Second Class,AG-10390
7844,US-2014-123834,2014-07-22,2014-07-26,Standard Class,GM-14500
7845,CA-2012-125976,2012-09-27,2012-10-02,Standard Class,JK-15205
7847,CA-2013-128706,2013-02-27,2013-03-03,Standard Class,DW-13540
7848,CA-2013-104311,2013-05-03,2013-05-07,Standard Class,AS-10090
7851,CA-2011-169649,2011-12-09,2011-12-15,Standard Class,TS-21205
7853,CA-2012-144890,2012-12-25,2012-12-29,Standard Class,SM-20320
7854,CA-2014-135587,2014-12-08,2014-12-13,Standard Class,BH-11710
7856,CA-2011-103429,2011-05-30,2011-06-01,First Class,LW-16825
7860,CA-2014-152261,2014-03-03,2014-03-07,Standard Class,JA-15970
7861,CA-2012-142993,2012-10-12,2012-10-17,Standard Class,KA-16525
7863,CA-2012-143364,2012-07-14,2012-07-19,Second Class,TG-21310
7867,CA-2011-100972,2011-11-19,2011-11-24,Second Class,DB-13360
7868,CA-2013-136994,2013-05-28,2013-06-03,Standard Class,LS-17245
7869,US-2014-166233,2014-07-04,2014-07-10,Standard Class,MO-17950
7870,CA-2014-122112,2014-09-26,2014-09-30,Standard Class,CA-11965
7871,CA-2013-101672,2013-10-04,2013-10-08,Standard Class,DB-12910
7875,CA-2014-168403,2014-09-10,2014-09-16,Standard Class,DK-12835
7877,CA-2012-148705,2012-03-12,2012-03-18,Standard Class,EB-14170
7878,CA-2013-160241,2013-11-30,2013-12-05,Second Class,DR-12940
7879,CA-2013-155747,2013-06-15,2013-06-22,Standard Class,JS-15685
7880,CA-2014-118017,2014-12-04,2014-12-07,Second Class,LC-16870
7888,CA-2013-113117,2013-08-17,2013-08-23,Standard Class,JP-15520
7889,CA-2013-148684,2013-12-26,2013-12-30,Standard Class,TS-21655
7893,CA-2014-125367,2014-07-24,2014-07-31,Standard Class,NM-18445
7894,CA-2014-124744,2014-06-22,2014-06-26,Standard Class,EH-14125
7897,CA-2014-128363,2014-08-14,2014-08-19,Standard Class,DC-12850
7904,CA-2012-126669,2012-11-07,2012-11-13,Standard Class,DO-13645
7905,US-2012-118766,2012-10-15,2012-10-22,Standard Class,LS-16975
7907,CA-2013-112585,2013-07-31,2013-08-03,First Class,RW-19630
7908,CA-2013-149762,2013-12-04,2013-12-08,Standard Class,RD-19720
7912,CA-2013-167605,2013-04-29,2013-05-01,Second Class,RB-19570
7913,US-2014-105697,2014-08-26,2014-08-28,First Class,JE-15715
7914,CA-2014-165323,2014-06-18,2014-06-22,Standard Class,SR-20740
7916,CA-2012-110891,2012-11-20,2012-11-24,Standard Class,PO-19195
7917,CA-2014-100783,2014-09-05,2014-09-09,Second Class,JK-16120
7918,CA-2012-152513,2012-07-04,2012-07-08,Second Class,JP-16135
7919,CA-2014-139822,2014-09-16,2014-09-22,Standard Class,Dp-13240
7921,CA-2014-107713,2014-03-14,2014-03-18,Standard Class,JB-16000
7922,CA-2014-134096,2014-09-25,2014-09-30,Standard Class,PP-18955
7924,CA-2013-125843,2013-08-14,2013-08-17,First Class,RF-19840
7926,CA-2014-120404,2014-11-21,2014-11-25,Second Class,KH-16330
7929,CA-2014-167549,2014-07-26,2014-07-28,First Class,EM-14200
7930,CA-2013-120082,2013-03-26,2013-03-28,Second Class,DK-12835
7931,US-2013-168095,2013-07-16,2013-07-21,Standard Class,MC-17425
7933,CA-2014-166093,2014-08-18,2014-08-25,Standard Class,RW-19540
7940,CA-2013-146325,2013-12-15,2013-12-18,First Class,DS-13180
7942,CA-2014-134194,2014-12-26,2015-01-02,Standard Class,GA-14725
7947,CA-2011-131009,2011-03-01,2011-03-05,Standard Class,SC-20380
7951,CA-2012-145814,2012-11-19,2012-11-24,Standard Class,KD-16345
7953,CA-2011-138359,2011-04-01,2011-04-06,Standard Class,KH-16330
7955,CA-2014-131807,2014-10-06,2014-10-11,Standard Class,GG-14650
7961,CA-2014-104864,2014-11-19,2014-11-24,Second Class,JS-15685
7966,CA-2012-138219,2012-03-23,2012-03-30,Standard Class,BP-11095
7967,CA-2013-157707,2013-10-11,2013-10-13,First Class,CC-12610
7970,US-2012-126753,2012-08-16,2012-08-20,Standard Class,SP-20860
7977,CA-2011-166051,2011-05-31,2011-06-05,Standard Class,JK-15625
7979,CA-2012-113040,2012-08-27,2012-08-31,Standard Class,CC-12100
7980,CA-2011-103800,2011-01-04,2011-01-08,Standard Class,DP-13000
7981,CA-2011-113383,2011-09-10,2011-09-13,First Class,SF-20065
7983,CA-2014-152499,2014-01-23,2014-01-26,Second Class,EH-13765
7985,CA-2013-151498,2013-04-22,2013-04-25,First Class,DN-13690
7986,CA-2013-137939,2013-07-21,2013-07-24,Second Class,PJ-19015
7987,US-2013-117793,2013-08-24,2013-08-30,Standard Class,MA-17560
7991,CA-2013-133872,2013-06-15,2013-06-18,First Class,VM-21835
7993,US-2012-165743,2012-11-20,2012-11-23,Second Class,MM-18055
7996,US-2014-105998,2014-11-04,2014-11-06,First Class,CR-12580
7998,US-2011-148194,2011-05-04,2011-05-07,First Class,BS-11365
8000,US-2012-151407,2012-11-08,2012-11-12,Standard Class,RD-19585
8001,CA-2012-110870,2012-12-12,2012-12-15,First Class,KD-16270
8003,CA-2011-143210,2011-12-01,2011-12-03,First Class,AA-10645
8006,CA-2013-139808,2013-10-08,2013-10-12,Standard Class,MC-18100
8007,CA-2012-110863,2012-11-17,2012-11-24,Standard Class,AA-10645
8010,CA-2011-127859,2011-03-17,2011-03-20,Second Class,QJ-19255
8011,US-2012-136427,2012-06-20,2012-06-23,First Class,JM-16195
8012,CA-2014-120138,2014-05-26,2014-05-26,Same Day,TB-21625
8016,US-2011-131870,2011-09-09,2011-09-11,First Class,NF-18595
8018,CA-2014-114804,2014-10-18,2014-10-20,Second Class,BF-11020
8019,CA-2014-167227,2014-11-03,2014-11-06,First Class,NP-18670
8021,CA-2011-129189,2011-07-21,2011-07-25,Standard Class,HM-14860
8025,CA-2012-132465,2012-09-11,2012-09-15,Second Class,DM-13525
8029,CA-2013-166373,2013-10-22,2013-10-26,Standard Class,JF-15565
8030,CA-2013-158806,2013-01-07,2013-01-11,Standard Class,NM-18520
8032,CA-2012-119690,2012-06-25,2012-06-28,First Class,MV-17485
8036,CA-2012-153738,2012-09-20,2012-09-22,First Class,AG-10270
8037,CA-2014-169012,2014-07-11,2014-07-15,Standard Class,BF-11275
8038,CA-2014-109393,2014-07-01,2014-07-03,Second Class,JC-15775
8039,CA-2014-121489,2014-08-22,2014-08-26,Second Class,CM-11815
8042,US-2014-133081,2014-03-12,2014-03-16,Standard Class,PV-18985
8044,CA-2014-165008,2014-09-16,2014-09-18,Second Class,DO-13645
8045,CA-2013-145611,2013-09-21,2013-09-25,Standard Class,HA-14905
8046,CA-2013-113600,2013-12-16,2013-12-18,Second Class,SH-20395
8047,CA-2014-130834,2014-11-04,2014-11-07,Second Class,JM-16195
